1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: CA00000037461B21
Is Mission Active?  false
Mission Start:  Thu Dec 21 00:01:00 EST 2017
Sample Rate:  Every 120 minute(s)
Number of Mission Samples:  2170
Total Samples:  25209
Roll Over Enabled?  true
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
12/31/17 4:01:00 AM,C,-19
12/31/17 6:01:00 AM,C,-19.5
12/31/17 8:01:00 AM,C,-20
12/31/17 10:01:00 AM,C,-13
12/31/17 12:01:00 PM,C,-1.5
12/31/17 2:01:00 PM,C,0
12/31/17 4:01:00 PM,C,-10.5
12/31/17 6:01:00 PM,C,-14.5
12/31/17 8:01:00 PM,C,-15.5
12/31/17 10:01:00 PM,C,-16
1/1/18 12:01:00 AM,C,-17
1/1/18 2:01:00 AM,C,-18
1/1/18 4:01:00 AM,C,-18
1/1/18 6:01:00 AM,C,-16
1/1/18 8:01:00 AM,C,-13.5
1/1/18 10:01:00 AM,C,-8.5
1/1/18 12:01:00 PM,C,-3
1/1/18 2:01:00 PM,C,-3
1/1/18 4:01:00 PM,C,-8
1/1/18 6:01:00 PM,C,-11
1/1/18 8:01:00 PM,C,-11.5
1/1/18 10:01:00 PM,C,-12.5
1/2/18 12:01:00 AM,C,-14
1/2/18 2:01:00 AM,C,-12
1/2/18 4:01:00 AM,C,-9
1/2/18 6:01:00 AM,C,-8
1/2/18 8:01:00 AM,C,-9.5
1/2/18 10:01:00 AM,C,-9
1/2/18 12:01:00 PM,C,-7
1/2/18 2:01:00 PM,C,-4.5
1/2/18 4:01:00 PM,C,-6.5
1/2/18 6:01:00 PM,C,-9
1/2/18 8:01:00 PM,C,-8.5
1/2/18 10:01:00 PM,C,-9.5
1/3/18 12:01:00 AM,C,-10
1/3/18 2:01:00 AM,C,-10.5
1/3/18 4:01:00 AM,C,-9.5
1/3/18 6:01:00 AM,C,-9
1/3/18 8:01:00 AM,C,-8.5
1/3/18 10:01:00 AM,C,-6
1/3/18 12:01:00 PM,C,0
1/3/18 2:01:00 PM,C,-4
1/3/18 4:01:00 PM,C,-4.5
1/3/18 6:01:00 PM,C,-5.5
1/3/18 8:01:00 PM,C,-6.5
1/3/18 10:01:00 PM,C,-7.5
1/4/18 12:01:00 AM,C,-7.5
1/4/18 2:01:00 AM,C,-7.5
1/4/18 4:01:00 AM,C,-7.5
1/4/18 6:01:00 AM,C,-7.5
1/4/18 8:01:00 AM,C,-10
1/4/18 10:01:00 AM,C,-6.5
